artist,title,key,song_url,artist_url
Eagles,Hotel California - 2013 Remaster,31597679,50e82c99c20ffa4223e82250605bbd8500cb3928,6b215464b769958ef1d7d9f163e3f49ebacf8842
Taylor Swift,I Forgot That You Existed,39418225,8e77ad1da5fad8a67c32beb74c6d8245c89a75a0,62b33d12e2b9a033cf77585f6e3d4b2c6b3a63a1
Icona Pop,I Love It (feat. Charli XCX),65089186,35149f91f3f5689e5ea40adb1e518b852aee5f79,30ea1d461c1614d8f02fa2a02bd22b9d067816c1
Billie Eilish,i love you,76865762,06503729fb99a9072fe40c9d529743eb4c9f6a59,bcf71477d890a736eb769dc5f8af4e7d28278824
Charlie Puth,I Warned Myself,70043958,b4185f469a9b8997d96e5835320cdb91fe89d724,6402030b18deb0ba5d7cdbf2e6727a1f36c86030
Jaden,Icon,51429899,553a549d8851db9b4c69a60631d0ddf457d37bb7,64829357ce5ba7e8e7d1aebf19fbde50a36cf885
Billie Eilish,ilomilo,42847752,0c231d89ded60a722669930c17211b0cb9186b2d,bcf71477d890a736eb769dc5f8af4e7d28278824
Logic,Keanu Reeves,18387986,eb9ceea3a2abd320f574936d269568f6a72b9435,efa0b73c2cdaf40b1767b4b1e1254b1cfc5b51db
Dua Lipa,Kiss and Make Up,39798138,7328fdaa04a8b5cada8b8e95a3dfe59913f9183c,aa46a79617c6e05f61d2718b189d8fa0dc29863b
Lennon Stella,La Di Da,77134093,1797c297de1a98969732c2f44625c6e2df91c85d,8ef56f746040c893dfc6cb4b7fa84ab5b9e45d25
Billie Eilish,listen before i go,67792917,df162bfd0308709df1f358567a5c5e83a0bfaf8b,bcf71477d890a736eb769dc5f8af4e7d28278824
Khalid,Location,81211907,d50dfb78af7cb29f6363ba1a0d2cbdd707ee137c,e52c824585bfeef4d674b509437120805300f557
Taylor Swift,London Boy,25944643,851167124a0e5e337a662b52a19989c72f5acc8d,62b33d12e2b9a033cf77585f6e3d4b2c6b3a63a1
John Newman,Love Me Again,97300759,17e783811798c872107fa879719b729f1610c8dd,acaf47cb2877299eacb302a4bddb2f0e4d3ec45a
Billie Eilish,lovely (with Khalid),45747378,667d929febdda3096a047d179d3819a2182595de,bcf71477d890a736eb769dc5f8af4e7d28278824
Taylor Swift,Lover,91856325,829a236dfbd40e0d423915a352c2d90b959996da,62b33d12e2b9a033cf77585f6e3d4b2c6b3a63a1
Imagine Dragons,Machine,74390860,4d9606979b5c6e138811ef7d90c10efc4cfe4fcf,3cc72d9980641a907e68e30b595c3975d6c5e5d0
Big Shaq,Man's Not Hot,76578591,bbfced4cc24af977bebed1105b9d3d9a8596f65b,e5f5bfe27c44e6187a03145c458e706efe2bc7bb
Jigitz,Mia Wallace,41156086,174617a203d8ab1b4eb3b14188e2f273ac0e0434,53e1a46ac3734431e08853cb67e6ed5a1bcff543
Taylor Swift,Miss Americana & The Heartbreak Prince,31737051,c1942e07db09187b524fdecd9582ce24c2e179df,62b33d12e2b9a033cf77585f6e3d4b2c6b3a63a1
Pink Floyd,Money,86794545,b646c809227bb466c7a365469e66693c34d820c2,012ecd119617ac24ab56620ace4b81735b172686
Billie Eilish,my strange addiction,41902284,f7a6d7d8efcd88527c89dc7f22829a0166936735,bcf71477d890a736eb769dc5f8af4e7d28278824
AJR,No Grass Today,44307225,c32ec9fb0c3578286830d4e734d45370a01ab0f7,c3c913b76f3c7f6de6c464ac1ae357a412adf79f
Galantis,No Money,67995517,fe269d15b08ee08b10c9fc04c5ed06decaf90ea8,5f57c69e2c34edb9847af7ada2e67449d1754df1
bülow,Not A Love Song,50671129,0bd64f208d7919fe59ed24bb277b2e33f0dafa63,905cd3f90f59fbbb07465029d17028b8ee36ff9a
